JobID	JobName	Submit	Elapsed	Partition	NNodes	NCPUS	TotalCPU	CPUTime	ReqMem	MaxRSS	WorkDir	State	Account	AllocTRES
556141	myJobName	2022-02-12T13:55:33	03:00:30	myPartition	1	32	00:00:00	4-00:16:00	250Gn		/job/path	TIMEOUT	myAccount	billing=32,cpu=32,gres/gpu=1,mem=250G,node=1
552375	myJobName	2022-02-12T14:04:01	00:39:16	myPartition	1	32	00:00:00	20:56:32	250Gn		/job/path	COMPLETED	myAccount	billing=32,cpu=32,gres/gpu=1,mem=250G,node=1
